name_fin,name_source_clean,group,name_source,script,source,package,entries,notes,,,,
effect,effect,effect,effect,da_epa.R,epa,,Mor, pop, itx,,,
endpoint,endpoint,endpoint,endpoint,da_epa.R,epa,,LC50, NOEC,,,,
is_fresh,ep_is_fresh,habitat,media_type,da_epa.R,epa,,FW,Fresh Water,,,,
is_marin,ep_is_marin,habitat,media_type,da_epa.R,epa,,SW,Salt Water,,,,
is_terre,ep_is_terre,habitat,organism_habitat,da_epa.R,epa,,Soil,,,,,
is_fresh,ep_is_fresh,habitat,subhabitat,da_epa.R,epa,,P, R, L,Palustrine, Riverine, Lacustrine
is_brack,ep_is_brack,habitat,subhabitat,da_epa.R,epa,,E,Estuarine,,,,
is_marin,ep_is_marin,habitat,subhabitat,da_epa.R,epa,,M,Marine,,,,
is_terre,ep_is_terre,habitat,subhabitat,da_epa.R,epa,,D, F, G,Desert, Forest, Grasslands
is_fresh,wo_is_fresh_sp,habitat,is_freshshwater,qu_worms.R,worms,taxize,,,,,,
is_brack,wo_is_brack_sp,habitat,is_brackckish,qu_worms.R,worms,taxize,,,,,,
is_marin,wo_is_marin_sp,habitat,is_marinine,qu_worms.R,worms,taxize,,,,,,
is_terre,wo_is_terre_sp,habitat,is_terrerestrial,qu_worms.R,worms,taxize,,,,,,
is_fresh,wo_is_fresh_fam,habitat,is_freshshwater,qu_worms.R,worms,taxize,,,,,,
is_brack,wo_is_brack_fam,habitat,is_brackckish,qu_worms.R,worms,taxize,,,,,,
is_marin,wo_is_marin_fam,habitat,is_marinine,qu_worms.R,worms,taxize,,,,,,
is_terre,wo_is_terre_fam,habitat,is_terrerestrial,qu_worms.R,worms,taxize,,,,,,
is_fresh,gb_isFre,habitat,,qu_gbif.R,gbif,rgbif,,,,,,
is_brack,gb_isBra,habitat,,qu_gbif.R,gbif,rgbif,,,,,,
is_marin,gb_isMar,habitat,,qu_gbif.R,gbif,rgbif,,,,,,
is_terre,gb_isTer,habitat,,qu_gbif.R,gbif,rgbif,,,,,,
is_africa,gb_africa,region,,qu_gbif.R,gbif,rgbif,,,,,,
is_antarctica,gb_antarctica,region,,qu_gbif.R,gbif,rgbif,,,,,,
is_asia,gb_asia,region,,qu_gbif.R,gbif,rgbif,,,,,,
is_europe,gb_europe,region,,qu_gbif.R,gbif,rgbif,,,,,,
is_america_north,gb_north_america,region,,qu_gbif.R,gbif,rgbif,,,,,,
is_oceania,gb_oceania,region,,qu_gbif.R,gbif,rgbif,,,,,,
is_america_south,gb_south_america,region,,qu_gbif.R,gbif,rgbif,,,,,,
