species_number,taxon,gbif_id,worms_id
31555,Acrotylus,1711256,
31557,Acrotylus,2666834,205416
31578,Adesmia,3262108,
31579,Adesmia,2961501,
23003,Alaria,3196122,144194
34471,Alaria,2503603,1359546
24267,Chloris,2702742,
29439,Chloris,3241514,558539
22653,Crambe,2241724,131931
23777,Crambe,3041334,426070
23086,Eisenia,9818213,369611
24274,Eisenia,3196066,1040050
23247,Eremophila,4906455,
23764,Eremophila,6006252,232055
23272,Holotrichia,1063974,
33787,Hyssopus,2926805,
34686,Hyssopus,1383930,
19929,Lactarius,3268900,
30185,Lactarius,2390501,205520
4857,Liriope,2269571,117099
30187,Liriope,9575165,
22465,Melanotus,1162063,
34892,Melanotus,2533268,
21476,Pieris,7236092,
21702,Pieris,2882626,
10663,Poduromorpha,546,
12588,Proboscidea,799,
46300,Proboscidea,2627559,
30680,Rhizophagus,6006127,
32675,Rhizophagus,1042814,
4234,Setaria,2702955,415975
46737,Setaria,3248997,
5369,Sida,2234721,410028
27934,Sida,3152100,
15959,Sphaerioidaceae,3283240,147514
27829,Symphyotrichum lateriflorum,7832723,
11358,Uronema,9767903,
30186,Uronema,2639782,
22022,Venturia,7868462,
22546,Venturia,1287171,
