variable,variable_full,variable_type,notes,variable_original
cas,CAS,identifier,,
casnr,CASNR,identifier,,
inchikey,InChIKey,identifier,,
result_id,EPA Result ID,identifier,,
value_fin,Result concentration,test,,
unit_fin,Result concentration unit,test,,
dur_fin,Test duration,test,,
taxon,Test taxon,test,,
tes_conc_type,Concentration type,test,,
tes_effect,Effect,test,,
tes_endpoint,Endpoint,test,,
tes_exposure_type,Exposure type,test,,
cgr_insecticide,is insecticide,compound,,
cgr_molluscicide,is molluscicide,compound,,
cgr_repellent,is repellent,compound,,
cgr_rodenticide,is rodenticide,compound,,
hab_brack,is brackish,organism,,
hab_fresh,is freshwater,organism,,
hab_marin,is marine,organism,,
hab_terre,is terrestrial,organism,,
reg_africa,occurs in Africa,organism,,
reg_america_north,occurs in North America,organism,,
reg_america_south,occurs in South America,organism,,
reg_asia,occurs in Asia,organism,,
reg_europe,occurs in Europe,organism,,
reg_oceania,occurs in Oceania,organism,,
tax_class,taxonomic level,organism,,
tax_common_name,common name,organism,,
tax_convgroup,taxonomic level,organism,self defined,
tax_family,taxonomic level,organism,,
tax_genus,taxonomic level,organism,,
tax_invertebrate,taxonomic level,organism,,
tax_kingdom,taxonomic level,organism,,
tax_order,taxonomic level,organism,,
tax_phylum,taxonomic level,organism,,
tax_phylum_division,taxonomic level,organism,,
tax_subphylum_div,taxonomic level,organism,,
tax_superclass,taxonomic level,organism,,
tax_troph_lvl,trophic level,organism,,
